1k5n_A	1k5n_A	1.000	1.000	1.000	4.540E-195
1k5n_A	1t7v_A	0.379	0.996	0.975	1.450E-57
1w2w_A	1w2w_A	1.000	1.000	1.000	4.688E-135
3h1d_A	3h1d_A	1.000	1.000	1.000	6.970E-277
3ov5_A	3ov5_A	1.000	1.000	1.000	3.902E-48
5gv0_A	5gv0_A	1.000	1.000	1.000	1.397E-107
3it4_B	3it4_B	1.000	1.000	1.000	4.684E-128
2w0i_A	2w0i_A	1.000	1.000	1.000	6.370E-86
2fb5_A	2fb5_A	1.000	1.000	1.000	8.531E-131
1xo7_B	1xo7_B	1.000	1.000	1.000	1.477E-112
1xo7_B	2cfe_A	0.581	0.958	0.981	7.731E-59
2y1q_A	2y1q_A	1.000	1.000	1.000	1.824E-92
2y1q_A	3fh2_A	0.605	0.940	0.973	1.300E-51
2q9r_A	2q9r_A	1.000	1.000	1.000	3.060E-126
3f0p_A	3f0p_A	1.000	1.000	1.000	1.850E-138
3f0p_A	3f0o_B	1.000	1.000	1.000	1.850E-138
5z51_A	5z51_A	1.000	1.000	1.000	3.496E-103
4mp8_A	4mp8_A	1.000	1.000	1.000	4.809E-227
1z7k_B	1z7k_B	1.000	1.000	1.000	2.058E-43
1z7k_B	2gkr_I	0.316	0.968	1.000	2.277E-08
1xkn_A	1xkn_A	1.000	1.000	1.000	7.555E-250
1t61_E	1t61_E	1.000	1.000	1.000	5.381E-164
1t61_E	5naz_A	0.838	1.000	1.000	1.031E-140
3obl_B	3obl_B	1.000	1.000	1.000	1.642E-90
5i8j_A	5i8j_A	1.000	1.000	1.000	1.620E-39
1ois_A	1ois_A	1.000	1.000	1.000	1.038E-153
1fd3_A	1fd3_A	1.000	1.000	1.000	9.567E-29
6odd_B	6odd_B	1.000	1.000	1.000	2.754E-43
3bhg_A	3bhg_A	1.000	1.000	1.000	1.489E-300
2e6x_A	2e6x_A	1.000	1.000	1.000	1.314E-41
4v4e_M	4v4e_M	1.000	1.000	1.000	0.000E+00
2onf_B	2onf_B	1.000	1.000	1.000	4.798E-94
1yqe_A	1yqe_A	1.000	1.000	1.000	9.221E-183
6bn0_A	6bn0_A	1.000	1.000	1.000	4.046E-59
2ia1_A	2ia1_A	1.000	1.000	1.000	9.189E-122
1gnt_A	1gnt_A	1.000	1.000	1.000	0.000E+00
6h49_A	6h49_A	1.000	1.000	1.000	7.786E-104
3d3y_A	3d3y_A	1.000	1.000	1.000	6.250E-276
4dlh_B	4dlh_B	1.000	1.000	1.000	1.932E-136
4rr9_A	4rr9_A	1.000	1.000	1.000	2.997E-91
2vnl_A	2vnl_A	1.000	1.000	1.000	2.774E-96
1vcl_A	1vcl_A	1.000	1.000	1.000	1.141E-307
2h1t_B	2h1t_B	1.000	1.000	1.000	1.839E-130
1h02_B	1h02_B	1.000	1.000	1.000	6.535E-48
1vaj_A	1vaj_A	1.000	1.000	1.000	2.793E-148
3gkj_A	3gkj_A	1.000	1.000	1.000	3.996E-166
6q10_A	6q10_A	1.000	1.000	1.000	3.901E-101
3jsy_B	3jsy_B	1.000	1.000	1.000	3.109E-133
1xmk_A	1xmk_A	1.000	1.000	1.000	1.223E-49
3dd6_A	3dd6_A	1.000	1.000	1.000	7.878E-165
5e3e_A	5e3e_A	1.000	1.000	1.000	2.495E-68
4geh_A	4geh_A	1.000	1.000	1.000	1.458E-128
3cjs_B	3cjs_B	1.000	1.000	1.000	6.440E-43
4wyw_A	4wyw_A	1.000	1.000	1.000	0.000E+00
4wyw_A	1u09_A	0.995	0.992	1.000	0.000E+00
6hj6_A	6hj6_A	1.000	1.000	1.000	2.112E-120
1j0p_A	1j0p_A	1.000	1.000	1.000	1.348E-73
1nl1_A	1nl1_A	1.000	1.000	1.000	5.274E-105
5lpa_A	5lpa_A	1.000	1.000	1.000	1.084E-183
3o0g_D	3o0g_D	1.000	1.000	1.000	1.244E-102
